URL,Title,Date
/news/news_read.naver?article_id=0001123179&office_id=215&mode=LSS2D&type=0&section_id=101&section_id2=258&section_id3=&date=20230904&page=1,"일본, 어업 지원에 1억 4천만 달러 추가 배정",20230904
/news/news_read.naver?article_id=0004933890&office_id=008&mode=LSS2D&type=0&section_id=101&section_id2=258&section_id3=&date=20230904&page=1,"""어, 어, 또 오르나""…매물 공백 속 엔비디아·테슬라 매수[서학픽]",20230904
/news/news_read.naver?article_id=0007028544&office_id=421&mode=LSS2D&type=0&section_id=101&section_id2=258&section_id3=&date=20230904&page=1,"이복현 금감원장 ""대기업 오너든 정치권력이든 불법 연루 땐 공표""(종합)",20230904
/news/news_read.naver?article_id=0001766328&office_id=057&mode=LSS2D&type=0&section_id=101&section_id2=258&section_id3=&date=20230904&page=1,중국 화웨이에 IFA 쇼크…냉장고·세탁기 점유율도 1위,20230904
/news/news_read.naver?article_id=0001123174&office_id=215&mode=LSS2D&type=0&section_id=101&section_id2=258&section_id3=&date=20230904&page=1,"라이언에어, 8월 운송량 전년비 12% 증가…""매수 유지""",20230904
/news/news_read.naver?article_id=0002823213&office_id=029&mode=LSS2D&type=0&section_id=101&section_id2=258&section_id3=&date=20230904&page=1,수익률에 투자자 성향까지… 미래에셋證 `종목 주주분석`,20230904
/news/news_read.naver?article_id=0002823212&office_id=029&mode=LSS2D&type=0&section_id=101&section_id2=258&section_id3=&date=20230904&page=1,"[클릭! 이 종목] 대동, 포스코와 로봇 개발 소식에 상한가",20230904
/news/news_read.naver?article_id=0001123173&office_id=215&mode=LSS2D&type=0&section_id=101&section_id2=258&section_id3=&date=20230904&page=1,"이탈리아, 사우디아라비아와 투자 확대 협약 체결",20230904
/news/news_read.naver?article_id=0001766325&office_id=057&mode=LSS2D&type=0&section_id=101&section_id2=258&section_id3=&date=20230904&page=1,혜택을 주진 못할망정…장기 기증자에 보험료 할증한 보험사들,20230904
/news/news_read.naver?article_id=0002823203&office_id=029&mode=LSS2D&type=0&section_id=101&section_id2=258&section_id3=&date=20230904&page=1,증권사 부실 부동산PF 6兆,20230904
/news/news_read.naver?article_id=0001766318&office_id=057&mode=LSS2D&type=0&section_id=101&section_id2=258&section_id3=&date=20230904&page=1,"출생아 '최저', 사망자 '최대'…올 상반기 인구 5.2만 명 감소",20230904
/news/news_read.naver?article_id=0005567198&office_id=018&mode=LSS2D&type=0&section_id=101&section_id2=258&section_id3=&date=20230904&page=1,"'혈' 뚫리자 삼성전자 쓸어담은 외국인…""9만전자 돌파 기대""",20230904
/news/news_read.naver?article_id=0000929262&office_id=366&mode=LSS2D&type=0&section_id=101&section_id2=258&section_id3=&date=20230904&page=1,"이복현, 김상희 의원 반발에 “자본시장법 위반 명백... 불법의 수익자”(종합)",20230904
/news/news_read.naver?article_id=0004887534&office_id=015&mode=LSS2D&type=0&section_id=101&section_id2=258&section_id3=&date=20230904&page=1,"어디서도 못듣는 '혁신 스토리'…투자 축제 KIW, 6일 신청 마감",20230904
/news/news_read.naver?article_id=0004887532&office_id=015&mode=LSS2D&type=0&section_id=101&section_id2=258&section_id3=&date=20230904&page=1,"20년간 1500% 뛴 인도 증시…과열 진단에도 ""지금이 저점""",20230904
/news/news_read.naver?article_id=0014170695&office_id=001&mode=LSS2D&type=0&section_id=101&section_id2=258&section_id3=&date=20230904&page=1,"삼성전기, 미국 전기차 업체에 카메라 모듈 공급 계약",20230904
/news/news_read.naver?article_id=0001123172&office_id=215&mode=LSS2D&type=0&section_id=101&section_id2=258&section_id3=&date=20230904&page=1,"콘티넨탈, 차량 조종석 시스템에 구글 클라우드 탑재",20230904
/news/news_read.naver?article_id=0005309312&office_id=277&mode=LSS2D&type=0&section_id=101&section_id2=258&section_id3=&date=20230904&page=1,"삼성전기, 美 전기차 업체에 카메라 모듈 공급 계약",20230904
/news/news_read.naver?article_id=0004887538&office_id=015&mode=LSS2D&type=0&section_id=101&section_id2=258&section_id3=&date=20230904&page=1,"""인도선 초등생부터 창업교육…실패해도 재도전할 기회 줘""",20230904
/news/news_read.naver?article_id=0004887536&office_id=015&mode=LSS2D&type=0&section_id=101&section_id2=258&section_id3=&date=20230904&page=1,한국 벤처캐피털 앞다퉈 인도에 베팅,20230904
/news/news_read.naver?article_id=0005567195&office_id=018&mode=LSS2D&type=0&section_id=101&section_id2=258&section_id3=&date=20230904&page=2,'교보타워 1.4배' 강남 르메르디앙 개발 '박차'…서울시 디자인 공모 선정,20230904
/news/news_read.naver?article_id=0004887529&office_id=015&mode=LSS2D&type=0&section_id=101&section_id2=258&section_id3=&date=20230904&page=2,"김주현 금융위원장 ""중국 영향 제한적…9월 위기설 근거 약해""",20230904
/news/news_read.naver?article_id=0012068928&office_id=003&mode=LSS2D&type=0&section_id=101&section_id2=258&section_id3=&date=20230904&page=2,"""특혜성 환매 vs 정치공작""…금감원 라임 재조사 2차전(종합)",20230904
/news/news_read.naver?article_id=0007028446&office_id=421&mode=LSS2D&type=0&section_id=101&section_id2=258&section_id3=&date=20230904&page=2,"이복현 금감원장, 김상희 의원에 ""라임펀드 대화 녹취록 공개해달라""",20230904
/news/news_read.naver?article_id=0004887519&office_id=015&mode=LSS2D&type=0&section_id=101&section_id2=258&section_id3=&date=20230904&page=2,"이복현 금감원장 ""총선 출마 안 한다…정치할 생각 없어""",20230904
/news/news_read.naver?article_id=0002192650&office_id=016&mode=LSS2D&type=0&section_id=101&section_id2=258&section_id3=&date=20230904&page=2,"국민연금 개혁, 또 국민만 쥐어짜나…적립금 고갈부터 막아야 [홍길용의 화식열전]",20230904
/news/news_read.naver?article_id=0005567183&office_id=018&mode=LSS2D&type=0&section_id=101&section_id2=258&section_id3=&date=20230904&page=2,"[마켓인]SK, 재무부담 우려에도…회사채 수요예측 1조 넘게 몰려",20230904
/news/news_read.naver?article_id=0005067217&office_id=014&mode=LSS2D&type=0&section_id=101&section_id2=258&section_id3=&date=20230904&page=2,HMM 인수 국내 3파전 압축... ‘몸값 최소 5조’ 고래사냥 시작,20230904
/news/news_read.naver?article_id=0005067186&office_id=014&mode=LSS2D&type=0&section_id=101&section_id2=258&section_id3=&date=20230904&page=2,"[fn마켓워치] 클래시스, 이루다 지분 18% 인수 ”전략적 파트너십 맞손”",20230904
/news/news_read.naver?article_id=0004234094&office_id=011&mode=LSS2D&type=0&section_id=101&section_id2=258&section_id3=&date=20230904&page=2,제1회 대한민국 여학생 유니콘 콘테스트 ‘2023 Girls Unicorn Contest’ 성료,20230904
/news/news_read.naver?article_id=0002823177&office_id=029&mode=LSS2D&type=0&section_id=101&section_id2=258&section_id3=&date=20230904&page=2,`조단위 대어` 뜬다… IPO시장 `10월 대망론`,20230904
/news/news_read.naver?article_id=0002823176&office_id=029&mode=LSS2D&type=0&section_id=101&section_id2=258&section_id3=&date=20230904&page=2,계속되는 고금리에 고개 숙인 `K-리츠`,20230904
/news/news_read.naver?article_id=0005567177&office_id=018&mode=LSS2D&type=0&section_id=101&section_id2=258&section_id3=&date=20230904&page=2,"이복현, 김상희 펀드 환매에 ""법 위반 수혜…증권사도 검사""(종합)",20230904
/news/news_read.naver?article_id=0004234093&office_id=011&mode=LSS2D&type=0&section_id=101&section_id2=258&section_id3=&date=20230904&page=2,"""증권사 부동산금융 잠재 부실 가능 금액 6조원…절반 이상이 해외 발생""",20230904
/news/news_read.naver?article_id=0005067171&office_id=014&mode=LSS2D&type=0&section_id=101&section_id2=258&section_id3=&date=20230904&page=2,"""홍삼오일 매일 섭취하면 전립선비대증 완화에 도움""",20230904
/news/news_read.naver?article_id=0005067169&office_id=014&mode=LSS2D&type=0&section_id=101&section_id2=258&section_id3=&date=20230904&page=2,美 달착륙선에 韓 탐사장비 실린다,20230904
/news/news_read.naver?article_id=0004887531&office_id=015&mode=LSS2D&type=0&section_id=101&section_id2=258&section_id3=&date=20230904&page=2,모두 짐 쌀 때 포기 안 한 미래에셋…지금은 '1위 외국계 운용사'로,20230904
/news/news_read.naver?article_id=0004887530&office_id=015&mode=LSS2D&type=0&section_id=101&section_id2=258&section_id3=&date=20230904&page=2,,20230904
/news/news_read.naver?article_id=0005181864&office_id=009&mode=LSS2D&type=0&section_id=101&section_id2=258&section_id3=&date=20230904&page=2,"클래시스, 미용기기 ‘이루다’에 400억 투자...“잔여 지분 인수도 고려”",20230904
/news/news_read.naver?article_id=0005067167&office_id=014&mode=LSS2D&type=0&section_id=101&section_id2=258&section_id3=&date=20230904&page=2,"삼성SDS, IBM-레드햇과 클라우드 협력 강화",20230904
/news/news_read.naver?article_id=0005067165&office_id=014&mode=LSS2D&type=0&section_id=101&section_id2=258&section_id3=&date=20230904&page=3,120명 크리에이터 성장 발판 돼준 LGU+,20230904
/news/news_read.naver?article_id=0005067164&office_id=014&mode=LSS2D&type=0&section_id=101&section_id2=258&section_id3=&date=20230904&page=3,모빌리티 슈퍼앱 꿈꾸는 티맵… 네카오와 '전면전',20230904
/news/news_read.naver?article_id=0004887478&office_id=015&mode=LSS2D&type=0&section_id=101&section_id2=258&section_id3=&date=20230904&page=3,美서 전력변압기 '불티'…효성重·제룡전기 '후끈',20230904
/news/news_read.naver?article_id=0004887477&office_id=015&mode=LSS2D&type=0&section_id=101&section_id2=258&section_id3=&date=20230904&page=3,어느새 배당률 10%…은행·보험주에 돈 몰리네,20230904
/news/news_read.naver?article_id=0007028387&office_id=421&mode=LSS2D&type=0&section_id=101&section_id2=258&section_id3=&date=20230904&page=3,"김주현 금융위원장 ""일부 언론·유튜브 제기한 '9월 위기' 없다""",20230904
/news/news_read.naver?article_id=0004887475&office_id=015&mode=LSS2D&type=0&section_id=101&section_id2=258&section_id3=&date=20230904&page=3,"'홀로 뒤처진' 현대미포조선, 조선주 랠리 합류하나",20230904
/news/news_read.naver?article_id=0004933871&office_id=008&mode=LSS2D&type=0&section_id=101&section_id2=258&section_id3=&date=20230904&page=3,"이복현 금감원장 ""김상희 의원, 녹취록 다 공개해달라""",20230904
/news/news_read.naver?article_id=0000758752&office_id=469&mode=LSS2D&type=0&section_id=101&section_id2=258&section_id3=&date=20230904&page=3,"""다선의원 적시 정치적"" 지적에, 이복현 ""팩트 확인된 것""",20230904
