link,title,date,newspaper
/news/news_read.naver?article_id=0014161972&office_id=001&mode=LSS2D&type=0&section_id=101&section_id2=258&section_id3=&date=20230830&page=1,"뉴욕증시, 민간 고용 둔화에도 상승 출발",20230830,연합뉴스
/news/news_read.naver?article_id=0005562979&office_id=018&mode=LSS2D&type=0&section_id=101&section_id2=258&section_id3=&date=20230830&page=1,"한 총리, 택시 기본요금 질문에 “1000원”",20230830,이데일리
/news/news_read.naver?article_id=0004931969&office_id=008&mode=LSS2D&type=0&section_id=101&section_id2=258&section_id3=&date=20230830&page=1,사상최고가 경신한 엔비디아…주가 위협 요인 '셋'[오미주],20230830,머니투데이
/news/news_read.naver?article_id=0005179793&office_id=009&mode=LSS2D&type=0&section_id=101&section_id2=258&section_id3=&date=20230830&page=1,1등 모범생이 왕따 된 사연…요즘 이 종목 담았다고 하면 ‘절레절레’,20230830,매일경제
/news/news_read.naver?article_id=0005562973&office_id=018&mode=LSS2D&type=0&section_id=101&section_id2=258&section_id3=&date=20230830&page=1,"금감원, 미래에셋자산운용 자금세탁방지 검사",20230830,이데일리
/news/news_read.naver?article_id=0002822383&office_id=029&mode=LSS2D&type=0&section_id=101&section_id2=258&section_id3=&date=20230830&page=1,"엔비디아 또 사상 최고가… ""더 오른다""",20230830,디지털타임스
/news/news_read.naver?article_id=0002822382&office_id=029&mode=LSS2D&type=0&section_id=101&section_id2=258&section_id3=&date=20230830&page=1,[클릭! 이 종목] 코스피 이전 추진 효과? 포스코DX 52주 신고가,20230830,디지털타임스
/news/news_read.naver?article_id=0005064882&office_id=014&mode=LSS2D&type=0&section_id=101&section_id2=258&section_id3=&date=20230830&page=1,초록뱀미디어 상장 적격성 실질심사 대상에 지정,20230830,파이낸셜뉴스
/news/news_read.naver?article_id=0001765413&office_id=057&mode=LSS2D&type=0&section_id=101&section_id2=258&section_id3=&date=20230830&page=1,땅 짚고 헤엄쳤더니 '최대 실적' 보험사…차 보험료 인하 압박,20230830,MBN
/news/news_read.naver?article_id=0002822377&office_id=029&mode=LSS2D&type=0&section_id=101&section_id2=258&section_id3=&date=20230830&page=1,`원영식 리스크`...초록뱀미디어 상장 적격성 실질심사 대상 결정,20230830,디지털타임스
/news/news_read.naver?article_id=0005562968&office_id=018&mode=LSS2D&type=0&section_id=101&section_id2=258&section_id3=&date=20230830&page=1,"부산 민락동 복합시설 개발, 다음달 본PF…생숙 이행강제금 '어쩌나'",20230830,이데일리
/news/news_read.naver?article_id=0001765392&office_id=057&mode=LSS2D&type=0&section_id=101&section_id2=258&section_id3=&date=20230830&page=1,[뉴스추적] 착공 32년 만에 또 좌초 위기 새만금,20230830,MBN
/news/news_read.naver?article_id=0001765390&office_id=057&mode=LSS2D&type=0&section_id=101&section_id2=258&section_id3=&date=20230830&page=1,새만금 공항·철도 타당성 다시 본다…국토부 연구 용역 발주 예정,20230830,MBN
/news/news_read.naver?article_id=0014161850&office_id=001&mode=LSS2D&type=0&section_id=101&section_id2=258&section_id3=&date=20230830&page=1,"번개장터 ""중고 거래앱 택배 서비스 이용 1천만건 돌파""",20230830,연합뉴스
/news/news_read.naver?article_id=0005562952&office_id=018&mode=LSS2D&type=0&section_id=101&section_id2=258&section_id3=&date=20230830&page=1,‘증권범죄와의 전쟁’에 수사권 원하는 금융당국…오남용 우려도,20230830,이데일리
/news/news_read.naver?article_id=0005562951&office_id=018&mode=LSS2D&type=0&section_id=101&section_id2=258&section_id3=&date=20230830&page=1,"[단독]금융위·금감원, 검찰급 수사권 확보 나선다",20230830,이데일리
/news/news_read.naver?article_id=0005562949&office_id=018&mode=LSS2D&type=0&section_id=101&section_id2=258&section_id3=&date=20230830&page=1,올해 공인회계사 최종 1100명 합격…최연소 19세,20230830,이데일리
/news/news_read.naver?article_id=0000769429&office_id=031&mode=LSS2D&type=0&section_id=101&section_id2=258&section_id3=&date=20230830&page=1,'행동주의펀드'와 주주가치 제고를 위한 법개정 토론회 열린다,20230830,아이뉴스24
/news/news_read.naver?article_id=0002190586&office_id=016&mode=LSS2D&type=0&section_id=101&section_id2=258&section_id3=&date=20230830&page=1,"“글로벌 투자자, 日 자동차·기계·반도체株 주목” [투자360]",20230830,헤럴드경제
/news/news_read.naver?article_id=0005562945&office_id=018&mode=LSS2D&type=0&section_id=101&section_id2=258&section_id3=&date=20230830&page=1,"[마켓인]GS건설, 등급 강등 위기…한기평·나신평도 전망 하향",20230830,이데일리
/news/news_read.naver?article_id=0012060051&office_id=003&mode=LSS2D&type=0&section_id=101&section_id2=258&section_id3=&date=20230830&page=2,"[올댓차이나] 홍콩 증시, 인터넷주 매도로 사흘 만에 반락...H주 0.47%↓",20230830,뉴시스
/news/news_read.naver?article_id=0005064862&office_id=014&mode=LSS2D&type=0&section_id=101&section_id2=258&section_id3=&date=20230830&page=2,거세진 주주환원 목소리… 기업 자사주 소각 2배 늘었다,20230830,파이낸셜뉴스
/news/news_read.naver?article_id=0005064861&office_id=014&mode=LSS2D&type=0&section_id=101&section_id2=258&section_id3=&date=20230830&page=2,변동장에 뜨는 배당주… 찬바람 불기전 담아볼까,20230830,파이낸셜뉴스
/news/news_read.naver?article_id=0005064860&office_id=014&mode=LSS2D&type=0&section_id=101&section_id2=258&section_id3=&date=20230830&page=2,"한국거래소 ""황비·웅비 보러오세요""",20230830,파이낸셜뉴스
/news/news_read.naver?article_id=0005064839&office_id=014&mode=LSS2D&type=0&section_id=101&section_id2=258&section_id3=&date=20230830&page=2,"하나證 ""증권·은행 협업 원스톱 자산관리""",20230830,파이낸셜뉴스
/news/news_read.naver?article_id=0005064838&office_id=014&mode=LSS2D&type=0&section_id=101&section_id2=258&section_id3=&date=20230830&page=2,부동산PF 부실 우려에… 단기 유동화증권 발행잔액 ‘반토막’,20230830,파이낸셜뉴스
/news/news_read.naver?article_id=0005064837&office_id=014&mode=LSS2D&type=0&section_id=101&section_id2=258&section_id3=&date=20230830&page=2,"[인터뷰] ""클라우드 기반 원장관리 시스템 전환 속도""",20230830,파이낸셜뉴스
/news/news_read.naver?article_id=0002822352&office_id=029&mode=LSS2D&type=0&section_id=101&section_id2=258&section_id3=&date=20230830&page=2,AI·바이오·방산… `예산 테마주` 뜬다,20230830,파이낸셜뉴스
/news/news_read.naver?article_id=0004885778&office_id=015&mode=LSS2D&type=0&section_id=101&section_id2=258&section_id3=&date=20230830&page=2,"'헤지펀드 대부' 레이 달리오, 中주식 30% 이상 팔아치웠다",20230830,파이낸셜뉴스
/news/news_read.naver?article_id=0000928087&office_id=366&mode=LSS2D&type=0&section_id=101&section_id2=258&section_id3=&date=20230830&page=2,"예탁원, 미수령 주식 찾기 캠페인 열어…”잠자는 46억원 찾아가세요”",20230830,파이낸셜뉴스
/news/news_read.naver?article_id=0004885775&office_id=015&mode=LSS2D&type=0&section_id=101&section_id2=258&section_id3=&date=20230830&page=2,'몸값 100억弗' US스틸 인수전 후끈,20230830,디지털타임스
/news/news_read.naver?article_id=0004232163&office_id=011&mode=LSS2D&type=0&section_id=101&section_id2=258&section_id3=&date=20230830&page=2,[데이터로 보는 증시]채권 수익률 현황(8월 30일),20230830,한국경제
/news/news_read.naver?article_id=0005064772&office_id=014&mode=LSS2D&type=0&section_id=101&section_id2=258&section_id3=&date=20230830&page=2,"9개월 경영공백 깬 김영섭號, 인적쇄신·실용주의 내세웠다 [KT 김영섭 대표 체제 출범]",20230830,한국경제
/news/news_read.naver?article_id=0005064770&office_id=014&mode=LSS2D&type=0&section_id=101&section_id2=258&section_id3=&date=20230830&page=2,은행권 부실채권 차주 1년새 3.7배 늘었다,20230830,조선비즈
/news/news_read.naver?article_id=0005179768&office_id=009&mode=LSS2D&type=0&section_id=101&section_id2=258&section_id3=&date=20230830&page=2,"[단독] 금감원, 은행·증권 이어 운용사 자금세탁 검사",20230830,한국경제
/news/news_read.naver?article_id=0005064864&office_id=014&mode=LSS2D&type=0&section_id=101&section_id2=258&section_id3=&date=20230830&page=2,젠투 4180억·라임 1440억.. 신한투자證 사적화해 결정,20230830,서울경제
/news/news_read.naver?article_id=0005064863&office_id=014&mode=LSS2D&type=0&section_id=101&section_id2=258&section_id3=&date=20230830&page=2,"코스피로 이전 상장, 오히려 코스닥에 유리?",20230830,파이낸셜뉴스
/news/news_read.naver?article_id=0005064856&office_id=014&mode=LSS2D&type=0&section_id=101&section_id2=258&section_id3=&date=20230830&page=2,네이버가 발굴한 AI 스타트업 크라우드웍스 31일 코스닥 상장,20230830,파이낸셜뉴스
/news/news_read.naver?article_id=0004885779&office_id=015&mode=LSS2D&type=0&section_id=101&section_id2=258&section_id3=&date=20230830&page=2,"러·인도 악재 이어 엘니뇨 삼중고, 곡물시장 '요동'…쌀·밀값 오름세",20230830,매일경제
/news/news_read.naver?article_id=0005562933&office_id=018&mode=LSS2D&type=0&section_id=101&section_id2=258&section_id3=&date=20230830&page=2,"거래소, 초록뱀미디어 상장적격성 실질심사 대상 결정",20230830,이데일리
/news/news_read.naver?article_id=0005064761&office_id=014&mode=LSS2D&type=0&section_id=101&section_id2=258&section_id3=&date=20230830&page=3,"틱톡, 韓크리에이터 수익 창출 프로그램 가동",20230830,파이낸셜뉴스
/news/news_read.naver?article_id=0005064760&office_id=014&mode=LSS2D&type=0&section_id=101&section_id2=258&section_id3=&date=20230830&page=3,"""내년 북미 출격 카카오브레인' 칼로 3.0'… 글로벌 공략"" [K-AI 반격 나선다]",20230830,파이낸셜뉴스
/news/news_read.naver?article_id=0014161759&office_id=001&mode=LSS2D&type=0&section_id=101&section_id2=258&section_id3=&date=20230830&page=3,"거래소, 초록뱀미디어 상장 적격성 실질심사 대상 결정",20230830,파이낸셜뉴스
/news/news_read.naver?article_id=0000928085&office_id=366&mode=LSS2D&type=0&section_id=101&section_id2=258&section_id3=&date=20230830&page=3,"글로벌 컨설팅社 웨버샌드윅, S&P 글로벌 마켓 인텔리전스와 손잡고 자문 서비스 강화",20230830,연합뉴스
/news/news_read.naver?article_id=0000049531&office_id=243&mode=LSS2D&type=0&section_id=101&section_id2=258&section_id3=&date=20230830&page=3,"신한투자증권, 젠투신탁·라임펀드 사적화해 결정",20230830,이데일리
/news/news_read.naver?article_id=0012060003&office_id=003&mode=LSS2D&type=0&section_id=101&section_id2=258&section_id3=&date=20230830&page=3,"""하반기 대형 IPO 잡아라""…증권플러스 비상장 '눈길'",20230830,이데일리
/news/news_read.naver?article_id=0004885733&office_id=015&mode=LSS2D&type=0&section_id=101&section_id2=258&section_id3=&date=20230830&page=3,'명품시장' 불황 모른다더니…중국 지갑 닫히자 '초비상',20230830,조선비즈
/news/news_read.naver?article_id=0004232148&office_id=011&mode=LSS2D&type=0&section_id=101&section_id2=258&section_id3=&date=20230830&page=3,엘앤에프 울고 포스코DX 웃고…脫코스닥 '희비',20230830,이코노미스트
/news/news_read.naver?article_id=0004885732&office_id=015&mode=LSS2D&type=0&section_id=101&section_id2=258&section_id3=&date=20230830&page=3,"""9월 박스피 전망…최고 2700""",20230830,뉴시스
/news/news_read.naver?article_id=0004232141&office_id=011&mode=LSS2D&type=0&section_id=101&section_id2=258&section_id3=&date=20230830&page=3,평균나이 26.9세…제58회 공인회계사시험 최종 합격자 1100명 발표,20230830,한국경제
/news/news_read.naver?article_id=0004232140&office_id=011&mode=LSS2D&type=0&section_id=101&section_id2=258&section_id3=&date=20230830&page=3,[투자의 창] '부동산 투자' 성공하려면,20230830,서울경제
/news/news_read.naver?article_id=0004885730&office_id=015&mode=LSS2D&type=0&section_id=101&section_id2=258&section_id3=&date=20230830&page=3,개미 '폭풍 매수株' 연말에 강하다?,20230830,한국경제
/news/news_read.naver?article_id=0004232138&office_id=011&mode=LSS2D&type=0&section_id=101&section_id2=258&section_id3=&date=20230830&page=3,금감원 라임 재조사에 증권가 '초긴장',20230830,서울경제
/news/news_read.naver?article_id=0004232137&office_id=011&mode=LSS2D&type=0&section_id=101&section_id2=258&section_id3=&date=20230830&page=3,"하나의 플랫폼에 AI모델  100여개…구글 ""클라우드 판 뒤집을것""",20230830,서울경제
